position,season,games_played_season,fantasy_points,player_type,points_per_game
QB,2020,16.0,651.9200000000001,offensive,40.75
QB,2020,11.0,350.12,offensive,31.83
TE,2020,10.0,42.9,offensive,4.29
WR,2020,12.0,53.900000000000006,offensive,4.49
QB,2020,15.0,519.22,offensive,34.61
QB,2020,16.0,427.96,offensive,26.75
QB,2020,8.0,115.58,offensive,14.45
QB,2020,16.0,762.26,offensive,47.64
RB,2020,15.0,84.2,offensive,5.61
QB,2020,9.0,246.73999999999998,offensive,27.42
TE,2020,10.0,64.7,offensive,6.47
RB,2020,16.0,112.5,offensive,7.03
TE,2020,10.0,36.400000000000006,offensive,3.64
WR,2020,14.0,56.400000000000006,offensive,4.03
QB,2020,16.0,482.44,offensive,30.15
QB,2020,5.0,100.76,offensive,20.15
QB,2020,16.0,462.56,offensive,28.91
RB,2020,8.0,13.200000000000001,offensive,1.65
TE,2020,15.0,172.4,offensive,11.49
WR,2020,6.0,29.22,offensive,4.87
TE,2020,16.0,182.3,offensive,11.39
WR,2020,13.0,136.0,offensive,10.46
QB,2020,4.0,24.2,offensive,6.05
TE,2020,15.0,179.1,offensive,11.94
WR,2020,7.0,117.0,offensive,16.71
WR,2020,12.0,73.52000000000001,offensive,6.13
QB,2020,15.0,322.98,offensive,21.53
WR,2020,16.0,82.30000000000001,offensive,5.14
WR,2020,6.0,68.80000000000001,offensive,11.47
QB,2020,4.0,29.32,offensive,7.33
RB,2020,8.0,40.1,offensive,5.01
QB,2020,11.0,245.9,offensive,22.35
TE,2020,12.0,49.4,offensive,4.12
WR,2020,10.0,98.1,offensive,9.81
TE,2020,9.0,6.300000000000001,offensive,0.7
RB,2020,4.0,19.3,offensive,4.82
RB,2020,16.0,52.2,offensive,3.26
TE,2020,5.0,39.5,offensive,7.9
TE,2020,4.0,23.0,offensive,5.75
WR,2020,4.0,7.800000000000001,offensive,1.95
WR,2020,6.0,44.8,offensive,7.47
WR,2020,15.0,177.5,offensive,11.83
